,id,countLiquidated,countLiquidator,hasBorrowed,health,totalBorrowValueInEth,totalCollateralValueInEth,tokens.0.symbol,tokens.1.symbol,tokens.2.symbol,tokens.3.symbol,tokens.4.symbol,tokens.5.symbol,tokens.6.symbol,tokens.7.symbol,tokens.8.symbol,tokens.9.symbol,tokens.10.symbol,tokens.11.symbol,tokens.12.symbol,tokens.13.symbol
3000,0x00211fa0cae7a79d41a3287b10bcd432871bea34,0,0,False,,0,0.126311335070730732006342556273946355777516544,cDAI,,,,,,,,,,,,,
3001,0x00212d13dd8acd1fb59471a6f819d77f768f48f4,0,0,False,,0,0.035962408695004790667450936,cETH,,,,,,,,,,,,,
3002,0x00215bec9654e6395836a0bf701cad6688ac671a,0,0,False,,0,0.0008317935374578026939671015808,cUSDC,,,,,,,,,,,,,
3003,0x002196219a2bf6fa47e9ac28713c143c2746f297,0,0,False,,0,0.0008329421922694160006561041152,cUSDC,,,,,,,,,,,,,
3004,0x0021af9845668463daa95c32630abed7a7deb22d,0,0,False,,0,0.032788341261119177850088512987672041888653568,cDAI,,,,,,,,,,,,,
3005,0x0021de391ad18840675aa814e63d594bd4631344,0,0,False,,0,0.0008315261714650687099600023936,cUSDC,,,,,,,,,,,,,
3006,0x0021df7fcccb2f11db04e4b26ba11eb698497d24,0,0,False,,0,0,cDAI,,,,,,,,,,,,,
3007,0x00221460aebc81dbc71fc2a668277ecb35bac502,0,0,False,,0,0,cUSDC,,,,,,,,,,,,,
3008,0x00227dd82fae1220bdac630297753bb2cb4e8ddd,0,0,True,0,0,0,cETH,cDAI,cCOMP,cWBTC,cUSDT,,,,,,,,,
3009,0x0022a6997676aa8ef66315cb160f2c46bbb42052,0,0,False,,0,0,cETH,,,,,,,,,,,,,
3010,0x0022ae01bbb0933817307b15a13844f833ad9516,0,0,True,2.09226280312078107451,1.18335472524637562144372982,2.4758890745302035785599751175,cETH,cUSDT,,,,,,,,,,,,
3011,0x0022dc0ce3a6aeaefec7300eb8cd2ab08ea423c0,0,0,False,,0,0,cETH,,,,,,,,,,,,,
3012,0x0022e029b03ad53a25afda40612715304dda20c5,0,0,False,,0,0.0008324738778198776036574184704,cUSDC,,,,,,,,,,,,,
3013,0x00230f37d4954bca9c49e696cc5d30765da8bf11,0,0,False,,0,0,cETH,,,,,,,,,,,,,
